Symbol,MarketCapitalization
TIPT,795217408
CRSR,794673024
NGVC,792761408
IMNM,792693376
HBNC,791245120
GSL,790316416
CRGX,787533952
TCPC,787438144
KREF,786866112
CDMO,786655872
AXL,784265280
RYI,782801728
TTGT,782328576
PRTA,781840768
DAO,781652608
TH,781635520
WDI,780448128
HAYN,779757184
CRON,779161344
LQDT,774607040
GOOD,773607872
SHLS,773483392
ETD,772309120
SNCY,771862272
AC,771543872
HAFC,769404288
PUBM,769043904
AVXL,768246016
TYRA,767647488
GCI,766537216
ORRF,764777728
RAPP,762254272
BVS,760881216
TRDA,760374400
SHEN,759515456
OLMA,758732928
OXLCL,758222000
CCO,758070912
CVLG,757569152
GSBC,756293504
PRTH,755767488
UAN,755726400
ABDDF,754937728
HBT,754269632
PGY,753496768
GRAL,752993920
MRNO,752807488
ECO,751802432
SCWX,751121280
GOTU,750337280
DMRC,748882304
WSR,746865408
HAIN,746807424
HIPO,745894016
ABL,744567488
SCHL,744234240
SWIM,742312512
LDI,742292224
MAX,742105664
HUYA,740762688
GOLLQ,739310016
SMBC,738769408
XPOF,736620736
AGGZF,735890560
USNA,735888960
SMP,734414080
MCB,734002688
INN,733987328
KOP,733734208
RPAY,731592960
LIND,730897280
NTGR,729602176
SEDG,729591744
CEVA,729358208
IMOS,727914496
NXP,727914304
PAXS,727748992
HZO,726416256
CGEM,724351296
BALY,723868992
INDI,723123648
CCAP,721216768
CURIW,721208800
FDUS,721026560
ANAB,719943040
REX,719728192
TRTX,719447232
BBAI,716675904
RLAY,716399296
OFIX,715751552
NRXPW,714611100
MCS,713696960
RERE,709446400
MEGI,708886976
SSYS,706711936
FSBC,705875392
EVLV,705824000
BFLY,705235200
NVTS,704220928
BH,703337728
VHI,702276928
OSPN,702075520
TXO,700435712
DNTH,700265024
AAVXF,699870528
BH-A,699572480
MTUS,698606336
MOFG,698244416
AMRK,698073280
ADSE,695193280
AEMFF,694906624
MATV,690608256
IRMD,690446848
DAKT,690396352
NR,690248128
TRST,689887424
ACIC,689813440
ABUS,687856000
BTBT,686185152
CRML,686145536
RBBN,685751424
YALA,683136704
AACT,683124992
VEL,682496064
AMSSY,682427200
CAC,682212928
RSKD,682119232
CVAC,681987520
NCMI,681489984
LPRO,681488512
EZPW,681362176
TSAT,678879936
STOK,678507200
AGM-PD,677903296
OMER,676853632
VMO,676430272
MBX,676254016
GPRE,675604608
DOGZ,674726272
ORIC,674620544
BIOA,674118848
VINP,673394560
GNK,673009344
IMTXW,673004000
CCBG,672017792
NBR,671697408
REAL,671308928
IMXI,671109824
THRY,670988864
NEXN,669149632
EOSE,668989824
MLAB,668064640
PACK,667724416
BWSN,666959300
CTLP,666364032
ADTN,666169536
OPY,663172608
PLPC,662253504
ECX,662240832
ESQ,661294528
CAPR,660677632
CMRE-PB,660667520
VREX,658422016
ESPR,658096896
LAB,655175872
PTLO,654675776
RCAT,653530368
OCS,652244736
INNV,651538560
METC,650724736
METCB,650724416
ALT,650078848
ABVX,649939840
CNDT,649153408
EVER,647993024
SPTN,647416192
CLNNW,646977800
NDMO,646249920
AXGN,645601792
HTBK,645524032
HTBI,644399104
UVE,642662016
OPAL,641195584
FNKO,640126528
PGC,639929088
FFWM,639149312
DDI,638247808
ATEX,637862912
SPFI,636739840
LXU,635995392
EXAI,633178496
RGR,631669888
KRT,631560320
OLP,631133312
MREO,630797248
ALMS,630534272
CGNT,629081280
BBW,628437888
CLNE,627913664
CLMB,625924544
ADLRF,625195264
CUBI-PE,623793344
NGL,623101312
WASH,621503616
ALTI,620827456
CMRE-PC,620500480
ITRN,620282432
DHC,620076736
CUBI-PF,619213824
ATLCP,619017900
UIS,618715328
SVRA,617828416
TRML,616191680
EXTO,614863040
CTO,614811840
PBT,614304000
ORC,613394240
PACB,612176384
LEGH,611688128
SWBI,611336832
AMPS,611200000
CASS,609802176
CION,609057856
AMBC,608220544
MLYS,608173504
NPK,607789952
MPB,607440448
CMRE-PD,607270464
RSVR,606570176
PLOW,606219008
CSV,606031616
BHK,605991296
AOIFF,604992000
SMBK,603933952
NVRI,603418048
FPI,603374080
FLGT,602560000
LYTS,602136896
LOVE,601187648
GLAD,601120896
LENZ,600485504
SLP,600410624
GMRE,600053184
BIGC,599607168
FRPH,598128640
CCRN,597766400
CHPT,595350016
FUBO,594685504
NGNE,593144000
TALK,592919744
FMNB,591630400
IIM,590708416
IGMS,588695808
CRMD,588568832
MGIC,588209600
RXT,587128000
THFF,586518208
FPH,585547072
FTEL,584584768
HIFS,583958144
LVRO,583040000
CCNE,582365248
ZKH,581594368
PHAT,581207872
EYPT,579451392
HUMA,577719296
CLCO,577305088
SFIX,577135616
MSBI,576770432
NAT,576278784
ATRO,575477376
IIIN,575396096
CDXC,575166208
CMP,572830720
HONE,572670784
SRDX,572037184
BAND,571384896
NWPX,571317696
AROW,571288384
BIT,570468032
SHBI,569555008
MEG,569391616
GPRK,568754240
BCAL,568037440
ASPI,567172288
HKD,566821888
NOA,565513152
NFBK,564617920
VGM,564555136
RYAM,564239296
SGMO,563237440
SIBN,561971840
OPT,561687616
API,561657472
DXYZ,561402816
TK,561234560
GGT-PE,561117760
VKQ,560548608
NYMT,559780672
KIDS,559387328
ACCO,559143616
MNTK,559135232
DGICA,558808768
DEC,558190272
UHT,558000384
GDOT,557769344
QD,556848768
QTTB,556559808
SEI,556196032
DNA,555820992
CNSL,555614912
NOVA,554791296
JMIA,554757440
EBF,554663168
ALRS,554148672
CRD-A,553933312
CRD-B,553933120
ACNFF,553258624
DGICB,552736768
RDUS,550695744
ATXS,550233472
LZM,547521600
TERN,547006464
AAYYY,544901376
LASR,543861440
PFIS,543209216
TBLD,543146560
MYTE,543144384
GLUE,542486080
ANNX,540431616
EBS,540216512
HYLN,539843136
FTHY,539827648
RILYG,539118912
BUI,538061120
IQI,537828224
BME,537290240
RILYZ,536785024
RILYL,536572896
TEN,536411808
IRWD,534493504
BGS,533564672
HNRG,531861376
GCBC,531576672
HIVE,529072192
AIOT,528207968
DH,527940128
BLE,527861760
DIN,527529568
ALZCF,527222080
LX,526921152
AGPYY,525054624
KRNY,525032960
FLWS,524854592
JBDI,523379392
CRVS,522411872
EAF,522049024
GLRE,521790848
MNMD,521388384
CHCT,521072288
RMT,521011968
HOUS,518480896
AGFMF,517966624
AUNA,517423200
VERV,517295840
LAAC,516512064
FFIC,516264576
ABIT,515971264
HPP,515879584
TREE,515373344
URGN,515254688
GUG,514489568
KELYA,514159264
KELYB,514068480
PSBD,513204576
BLW,513156032
PHAR,512948960
SANA,512402368
RDVT,512361664
ITIC,511928800
PRTC,510976448
GRO,509895392
LINC,508388096
IVR,508312608
AMVMF,507258688
SENEB,507074400
TTI,506150400
SDST,506092736
SNDL,504564000
SIGA,504117216
CPAC,502708000
HCAT,501993536
VCV,501892416
GAIN,501166976
ODC,501106336
FARO,500173408
EGY,500041280
MEI,499905536
GBLI,499881248
OFLX,498355584
SLQT,497361632
THRD,496994144
BWMN,495567456
CBNK,493250912
CTNM,493115648
CLDT,490848576
TSHA,487764384
UMH-PD,485652480
SMLR,485295776
BLDP,485062016
TBPH,483875104
ARCT,483510112
SENEA,483445984
GFR,482806048
TMCI,482802528
FC,482281056
PRCH,481859584
TCBX,480136384
VALU,479850688
CCSI,479501440
TYG,479145696
ASC,478929952
LMNR,478916928
CVGW,476727104
ORGO,475951424
QTRX,475899584
YSG,475050528
PKST,474061344
CGC,473444256
NRIM,473331904
KE,473129024
AGS,473113824
GHM,472512768
XFLT,472447488
MGTX,470483456
GAMB,469361024
VBNK,468826880
CELC,468575552
OABI,468320288
GOODO,468307200
CYH,468254752
NLOP,467501728
NNDM,466976960
RIGL,466621600
BOC,466216128
NPFD,464675616
VLGEA,464512736
MOV,463542528
MUX,463092000
GRPN,461704160
BWMX,460485600
RICK,460466208
GRVY,459461280
MITT-PA,459396544
NNE,458844864
MLP,458398432
SVC,456615520
CTV,456082240
SHYF,454637536
BFK,454335712
SNDA,453293920
ECCX,452267488
UNTY,451766656
EBTC,451551808
NRC,451443456
NEWTZ,450615456
DHIL,450349344
ANSC,450224992
CLW,450145088
SOHU,449131840
BSRR,448793056
ALLO,448698112
FMAO,447973664
MITT-PB,447959488
TWI,445764160
KALV,445646368
MYE,445627200
OUST,444949152
ACTG,443998976
AIHLF,443170720
BSVN,442866912
PNNT,442707520
TCMD,441786592
KODK,441395968
AKBA,440725600
ENGN,440438720
ALNT,440338752
CARE,440213760
NCV-PA,440200128
PKOH,439651872
CANG,438332992
GTN,438010528
ADNWW,437761800
RVNC,437442432
CRMT,437419072
SD,436517664
MTLS,436506592
AGMJF,436103840
GTN-A,434953760
CAN,434485888
LE,434321984
MFH,433717184
RGNX,433024160
QUAD,431544160
NMAI,430856000
RNAC,430274272
OOMA,429872032
GHRS,429588000
PTSI,429550880
OXLCO,429277024
GCO,428561472
WOW,428114304
LSAK,427805280
LAND,426979456
SGU,426681856
NEWTI,426240736
WALD,425369952
TRC,423532000
RBB,422695328
YRD,422501664
BYRN,422381856
SLRN,422372448
CLFD,422371008
EVN,422059008
PERI,421348064
GNTY,421328192
XPER,419610656
MERC,418611232
BWB,418241920
DCGO,417275968
CWBC,416993280
WDH,416902208
USAP,416426656
FBIZ,415497568
SNBR,415429472
AURA,413598400
FISI,413326560
AIRTP,412354816
SB,412163072
RRBI,411988416
PSTL,411628736
JILL,411502432
LESL,410631168
NETD,409771328
MITK,409365664
TWFG,409252800
AIRS,409227872
SDHY,408833248
LANDM,408052960
EGHT,407662368
NL,406901344
GMRE-PA,406416448
LSEA,406368480
BIOX,405378368
RMAX,405154624
CWCO,404740032
AMCX,403705312
COOK,403560160
GDEV,403410592
BMRC,403037472
MCI,402834368
APPTF,402538816
EHAB,401769952
GNE,401469920
HBCP,401219648
LEO,399907584
AMBZ,398379232
CDXS,397937856
LGTY,396317696
APPEF,396317216
ACNB,395459136
ADBKF,395265728
USCB,394431104
GBAB,394343840
AQST,393889824
SKYT,393161984
KTF,392903168
SPLP-PA,391354368
TRAK,391196384
LND,390492768
SVCO,389680032
PRME,389548160
HQL,388924128
NREF,387891360
KOD,386784928
AOHLF,385745408
HRTG,385700384
DOMO,385536448
PAMT,385332448
SLN,384800608
BBCP,384368960
LRMR,384115744
LXFR,383558336
HVT,383115136
HVT-A,383114432
RWAY,382711808
NUS,382277600
OTLY,382236000
TRUE,381745824
ASA,381496896
CURV,381224480
ACRE,380704544
FRBA,380243328
MVST,380111008
EFR,379905024
DDD,378380672
MXCT,377629120
RNGR,377501024
AMIVF,376457632
LSEAW,375802500
CRNT,375253856
PRQR,374910784
SOR,374728128
SCM,373937408
NEWT,373268064
TNGX,372740448
APEI,371954112
PNRG,371151776
BARK,368782464
CIO-PA,368537600
SMC,368338528
EWCZ,367851776
SSBK,367815616
POET,367603296
MTRX,367582368
HEAR,367452000
DOYU,367289312
RMR,367234080
DCTH,367059200
NECB,367030144
KRRO,366486336
WALDW,366375000
GEVO,366292704
PMTS,365358784
NVEC,365355232
LOCO,365258240
NNOX,365176640
GPAT,364406272
FHTX,363022944
FSBW,362638496
MAMA,362622848
LWAY,361374432
DADA,361128928
CIVB,360995328
MTW,360050720
CYRX,359360448
AEHR,359126208
GAINL,358338048
HRZN,357785888
INBK,357463808
GUT-PC,357120352
MBI,356700384
AIP,356373536
SFST,355932640
LAW,355858272
BRT,354681184
IHRT,353946592
BGR,353253408
EFT,352755648
MSB,352272000
GTI,352178400
BFZ,352044768
SPIR,351389312
AHG,350962464
CLPT,350877632
CYD,350421184
NODK,349993792
DSGN,349917760
EB,349740032
GILT,348944032
ALFDF,348394144
MEC,347237120
PPT,347020736
TITN,346916992
BLZE,346668000
SMRT,346624192
RFMZ,346282592
ORN,346221984
XYF,346107616
MPX,345047744
KMDA,344953792
IPXX,344687488
ARTNA,344363264
MCFT,343977984
HTFB,343844100
BLDE,343798464
ELYM,342677632
SAGE,342570464
JOUT,341693888
JFIN,341529408
IPI,340926880
VYGR,340863744
AMLX,340683072
AKCCF,340652864
AKKVF,340232480
OIS,340168288
TKNO,340103136
CDRO,339734240
VMD,339526432
CZFS,339463936
LWLG,338972960
NGS,338793824
BTMD,338652448
NATH,338451616
KLTR,338310720
AEPLF,337876704
COFS,337792224
NPCE,336686560
ABSI,335379520
AGXXF,334590784
OBT,334036032
SPOK,332264608
AGYTF,332240480
RM,331523584
PCYO,331486592
AIRJ,331307648
PMO,330785792
AEYE,330757024
SAR,329977120
VALN,329684768
TPVG,328802304
JMSB,328236608
KPLTW,327128800
ASLE,326714304
RCEL,326146944
NPCT,325219072
CVRX,325133568
ONEW,324829056
FINS,323307520
UROY,323203296
CERS,323144128
JSPR,322980160
ABGSF,322604608
DENN,322346752
ACR-PC,322127616
BCML,322077696
ZH,321922144
DBI,321897120
HLLY,321685120
QURE,321217024
FLXS,321179424
LGTO,321044320
FORR,321032384
FLIC,321022272
FNLC,320391904
DSX-PB,320050720
SNFCA,319465568
AMBI,318585984
BRY,318527456
NCZ-PA,318407232
REFI,318275232
CRNC,317782272
CZNC,317530368
ISPR,317220384
FSTR,317213632
JAKK,317070144
HYAC,317045472
SERV,316702464
BKSY,316099328
FDMT,315272928
CVEO,315121664
RMM,315044032
VNDA,314863744
ACIU,314639072
OB,314280704
ACGAF,312991808
TTSH,311211872
OIA,310748416
EXFY,310480512
PCB,309444736
FLYX,309254400
VPG,308988928
MIN,308972512
SMTI,308825184
CBAN,308824128
CUB,307721920
CPZ,307636576
AOCIF,307553184
PBFS,307530976
FDBC,306819712
FRST,306808704
BNED,306419520
NWTN,306220128
GWRS,305192160
CHMI-PB,305011200
PBPB,304759680
AGTEF,304386016
BYND,303847264
RZLT,303621824
ARQ,303471744
BYM,302291520
QUBT,300273728
